"","x"
"1141","NTPase"
"1142","Cul5"
"1143","mio"
"1144","Doa"
"1145","Myo28B1"
"1146","CG9253"
"1147","CG33523"
"1148","CG7483"
"1149","CG10338"
"1150","FucTA"
"1151","FucTA"
"1152","Nurf-38"
"1153","CG8243"
"1154","GckIII"
"1155","tmod"
"1156","dl"
"1157","dl"
"1158","Usp8"
"1159","unc-45"
"1160","eag"
"1161","rump"
"1162","CG9706"
"1163","Mon1"
"1164","PIG-O"
"1165","Sec8"
"1166","CG5853"
"1167","MRP"
"1168","bbc"
"1169","Sam-S"
"1170","Slik"
"1171","ND-39"
"1172","ninaC"
"1173","Sec3"
"1174","CDase"
"1175","CDase"
"1176","DnaJ-60"
"1177","PIG-G"
"1178","bsf"
"1179","CG2641"
"1180","mrj"
"1181","mrj"
"1182","CG34124"
"1183","Pax"
"1184","Pax"
"1185","dia"
"1186","Zn72D"
"1187","cpx"
"1188","bves"
"1189","cu"
"1190","Dbp73D"
"1191","spin"
"1192","CG18659"
"1193","CAP"
"1194","B52"
"1195","B52"
"1196","wupA"
"1197","wupA"
"1198","wupA"
"1199","CG32638"
"1200","Top2"
"1201","RhoGAPp190"
"1202","GluRIB"
"1203","NAT1"
"1204","mask"
"1205","bel"
"1206","pont"
"1207","slmb"
"1208","IntS11"
"1209","VhaAC45"
"1210","CG8745"
"1211","Hex-A"
"1212","Dek"
"1213","sky"
"1214","cact"
"1215","Baldspot"
"1216","Su(dx)"
"1217","Su(dx)"
"1218","slgA"
"1219","sau"
"1220","Hip14"
"1221","GABPI"
"1222","CG11069"
"1223","CG7137"
"1224","rept"
"1225","ClC-c"
"1226","4E-T"
"1227","sqd"
"1228","Not3"
"1229","Galphaq"
"1230","Hip1"
"1231","Hip1"
"1232","Cals"
"1233","Gad1"
"1234","ine"
"1235","Ndae1"
"1236","Ndae1"
"1237","Ndae1"
"1238","Sema2a"
"1239","AlaRS-m"
"1240","Wdr62"
"1241","Wdr62"
"1242","l(2)gl"
"1243","tacc"
"1244","tacc"
"1245","smt3"
"1246","CG3609"
"1247","Mtap"
"1248","pyd3"
"1249","homer"
"1250","M6"
"1251","Hydr2"
"1252","Rs1"
"1253","Bsg"
"1254","Cul1"
"1255","wech"
"1256","Pp2B-14D"
"1257","CG12773"
"1258","wtrw"
